"","track_id","title","artist","popularity","genre","danceability","valence","album_id","album_name","album_release_date","playlist_name","playlist_id","subgenre","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","tempo","duration_ms","valence.c"
"20","7tKnaB8gsXxyPScxEwzQ9N","Stockholm","Atlas Genius",52,"pop",56.8,40.9,"3jQxdLlKciB0WQncSVhM39","Inanimate Objects","2015-08-28","Indie Poptimism","1pZWCY50kMUhshcESknir8","indie poptimism",74.6,7,-5.437,1,4.62,0.54,0,16.2,125.04,191640,-7.29594285714286
"21","5ZmQEfpxN3WYJgfkU5z5WA","When It Was Now","Atlas Genius",25,"pop",66.2,84.6,"5Ix8zXCxsX8YCGAThyBVE8","When It Was Now (Deluxe Version)","2013-02-19","Indie Poptimism","21nxmipQe5xtXoHHPaYfnY","indie poptimism",91.7,9,-4.308,0,4.03,0.811,0,7.04,141.952,209707,36.4040571428571
"22","0NI2W5tqkfMWwY1nhl0iPe","Can't Be Alone Tonight","Atlas Genius",46,"pop",55.9,44.3,"6zlGZpLqzrPmYa44h8jhkm","Can't Be Alone Tonight","2019-01-18","Indie Poptimism","21nxmipQe5xtXoHHPaYfnY","indie poptimism",83.3,6,-4.332,1,8.95,4.4,0,34.9,99.991,237027,-3.89594285714286
"23","0wDEiGfq4pw7FAkYKpkwMo","Trojans","Atlas Genius",60,"rock",72.1,53.6,"3yhETmhJwSVSLGDyTJgnqo","When It Was Now","2013-02-18","permanent wave","3uFyGoayrP71xS6T6Y8Bh2","permanent wave",82.2,7,-4.843,1,3.91,1.13,0.00701,8.98,140.002,217387,5.40405714285714
"24","5TgS4dcUAU8EEb506d8wAT","Ghost","Au/Ra",72,"pop",66.7,58.4,"0ol5Chz853Na284gRXNVvJ","Ghost","2019-10-17","Dance Pop Tunes","4SdfG4cPG3skmTiQLozZGh","dance pop",50.3,0,-8.217,0,5.26,55.2,0,16.9,144.015,177630,10.2040571428571
"25","7uUahoeqGNRMbpdeiLj1rS","Panic Room","Au/Ra",75,"pop",49.5,6.36,"3F83QiIRImUneMzZdSaTTM","Panic Room","2018-02-09","Intro to Indie Poptimism","6Ylmweq4pT7j3ScIv5uq1c","indie poptimism",42.6,8,-9.434,1,7.36,15.2,0.000565,9.9,97.91,237773,-41.8359428571429
"26","2SRBUah0IJcE8hiVxvuAUX","Ghost - The Him Remix","Au/Ra",44,"edm",59.1,57.9,"2LXafn7KFzzPAzvLd1rp0H","Ghost (Remixes)","2019-12-06","Electro House Top Tracks","1G0q0NK7g3C0XerNqq7GbL","electro house",82.5,0,-4.02,0,7.68,9.22,0,14.8,126.064,184762,9.70405714285714
"27","1rlNpTZ4vEU69lBnC4z7Kt","Panic Room - Club Mix","Au/Ra",46,"edm",66.3,28.3,"0I1FZLxw8XWEwQMLMAlTkp","Panic Room","2018-07-28","💊ELECTRO-HOUSE-TECH💊","0AFYmoSuoMQiGGjzvBwr6u","electro house",86.6,7,-7.046,0,3.69,0.125,40,3.46,122.997,425123,-19.8959428571429
"28","3MkuFR7t25mu7Iscp6GGiV","Panic Room","Au/Ra",67,"edm",57.8,25.5,"0I1FZLxw8XWEwQMLMAlTkp","Panic Room","2018-07-28","Deep Electronic Music 2020 & Progressive House","5CMvAWTlDPdZnkleiTHyyo","progressive electro house",88.3,10,-6.423,1,2.98,2.59,7.06,11.8,122.987,214483,-22.6959428571429
"29","0rzNMzZsubFcXSEh7dnem7","Hold Up","Beyoncé",75,"pop",52.4,55.2,"7dK54iZuOxXFarGhXwEXfF","Lemonade","2016-04-23","Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s","4QAzO1Z92yqqD6Mf3mOANu","dance pop",39.7,0,-11.936,1,40.5,74.5,0,52.1,80.744,221093,7.00405714285714
"30","4JehYebiI9JE8sR8MisGVb","Halo","Beyoncé",77,"pop",50.8,47.2,"39P7VD7qlg3Z0ltq60eHp7","I AM...SASHA FIERCE","2008-11-14","Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s","4QAzO1Z92yqqD6Mf3mOANu","dance pop",72,11,-5.908,0,6.28,27.2,0,5.63,79.983,261640,-0.995942857142865
"31","1uXbwHHfgsXcUKfSZw5ZJ0","Run the World (Girls)","Beyoncé",75,"pop",73.3,76,"1gIC63gC3B7o7FfpPACZQJ","4","2011-06-24","Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s","4QAzO1Z92yqqD6Mf3mOANu","dance pop",89.9,0,-4.237,1,14.3,0.496,0.00472,37.2,127.086,236093,27.8040571428571
"32","1uXbwHHfgsXcUKfSZw5ZJ0","Run the World (Girls)","Beyoncé",75,"pop",73.3,76,"1gIC63gC3B7o7FfpPACZQJ","4","2011-06-24","post-teen alternative, indie, pop (large variety)","1y42gwI5cuwjBslPyQNfqb","post-teen pop",89.9,0,-4.237,1,14.3,0.496,0.00472,37.2,127.086,236093,27.8040571428571
"33","2MfOcbtgz2yTsiznFmVZUN","Halo","Beyoncé",66,"pop",50.8,47.2,"20E3PwDg1jaDdK9K565luD","I AM...SASHA FIERCE","2008-11-12","Post pop teen","222nc9tKxKhfZ2GBrOpwH3","post-teen pop",72,11,-5.908,0,6.28,27.2,0,5.63,79.983,261640,-0.995942857142865
"34","6RX5iL93VZ5fKmyvNXvF1r","Irreplaceable","Beyoncé",72,"pop",44.7,50.9,"0Zd10MKN5j9KwUST0TdBBB","B'Day Deluxe Edition","2007-05-29","BALLARE - رقص","1CMvQ4Yr5DlYvYzI0Vc2UE","post-teen pop",69.4,7,-4.637,0,38.2,2.93,0.000546,16.7,175.868,227853,2.70405714285714
"35","0TwBtDAWpkpM3srywFVOV5","Crazy In Love (feat. Jay-Z)","Beyoncé",69,"pop",66.4,70.1,"06v9eHnqhMK2tbM2Iz3p0Y","Dangerously In Love","2003-03-10","BALLARE - رقص","1CMvQ4Yr5DlYvYzI0Vc2UE","post-teen pop",75.8,2,-6.583,0,21,0.238,0,5.98,99.259,235933,21.9040571428571
"36","02M6vucOvmRfMxTXDUwRXu","7/11","Beyoncé",71,"pop",74.7,56,"2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","2014-11-24","ELECTROPOP","2UsEj2GUukV0GLbsE3rldz","electropop",70.5,9,-5.137,0,12.6,1.28,0,12.6,136.024,213507,7.80405714285715
"37","02M6vucOvmRfMxTXDUwRXu","7/11","Beyoncé",71,"rap",74.7,56,"2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","2014-11-24","◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance","0Hr2h94pKN8QAGVAgD6BsD","southern hip hop",70.5,9,-5.137,0,12.6,1.28,0,12.6,136.024,213507,7.80405714285715
"38","63wKtmUg754umO8SglEL79","Jealous","Beyoncé",55,"rap",58.9,23.6,"2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","2014-11-24","◤ Hip Hop Dance Music – Urban – Trap – Breaking Locking Popping Bopping – WOD – World of Dance","0Hr2h94pKN8QAGVAgD6BsD","southern hip hop",54.1,8,-10.087,1,16.3,12.2,0.414,8.82,133.97,184013,-24.5959428571429
"39","5R9a4t5t5O0IsznsrKPVro","Single Ladies (Put a Ring on It)","Beyoncé",69,"latin",42.6,27.2,"39P7VD7qlg3Z0ltq60eHp7","I AM...SASHA FIERCE","2008-11-14","Today's Hits 2000-Present","6a66cg3HcsjYkisYyQcov6","latin hip hop",58.4,1,-5.293,1,29.6,3.83,0,18.8,193.437,193213,-20.9959428571429
"40","5IVuqXILoxVWvWEPm82Jxr","Crazy In Love (feat. Jay-Z)","Beyoncé",75,"latin",64.6,68.1,"6oxVabMIqCMJRYN1GqR3Vf","Dangerously In Love","2003-06-24","School Dance 2019 (Squeaky Clean)","0SqaMfNsngZCpPw0UuelA7","latin hip hop",77,2,-6.596,0,22.6,0.249,0,7.15,99.165,236133,19.9040571428571
"41","6tgEc2O1uFHcZDKPoo6PC8","ALREADY","Beyoncé",69,"r&b",64.7,54.8,"552zi1M53PQAX5OH4FIdTx","The Lion King: The Gift","2019-07-19","Contemporary Urban","6wyJ4bsjZaUKa9f6GeZlAO","urban contemporary",73.2,2,-5.846,1,8.91,8.46,0,59.7,67.295,222529,6.60405714285714
"42","7oqftogUN82Q7VNy2TmTJW","MOOD 4 EVA (feat. Oumou Sangaré)","Beyoncé",64,"r&b",60.8,70.9,"552zi1M53PQAX5OH4FIdTx","The Lion King: The Gift","2019-07-19","New R&B‏‏​​   ‍","4I6rTSxqKl1LRvES2O9owQ","urban contemporary",70.9,7,-6.175,1,37.4,11.9,0,33.7,105.742,272069,22.7040571428571
"43","6XsT5UGfpaFeHQf5LRIy4W","Me, Myself and I","Beyoncé",66,"r&b",75,53.6,"6oxVabMIqCMJRYN1GqR3Vf","Dangerously In Love","2003-06-24","urban contemporary","7en9i0JMyJlRFX4r4XrXXx","urban contemporary",45.8,1,-9.092,1,8.03,22.6,0.00325,13.7,83.61,301133,5.40405714285714
"44","02M6vucOvmRfMxTXDUwRXu","7/11","Beyoncé",71,"r&b",74.7,56,"2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","2014-11-24","Urban/Trap - Contemporary RAP","5CK0fshHcik1vWyeCc0zat","urban contemporary",70.5,9,-5.137,0,12.6,1.28,0,12.6,136.024,213507,7.80405714285715
"45","26NX1wPt1TRCH536yocd6i","If I Were a Boy","Beyoncé",68,"r&b",63.2,42.7,"23Y5wdyP5byMFktZf8AcWU","I AM...SASHA FIERCE","2008-11-14","urban CONTEMPORARY","1nFfDHtp8RY3obgen8KODl","urban contemporary",51.8,6,-6.126,1,3.13,10.7,0,35.4,90.007,249147,-5.49594285714286
"46","7rLDARtJALM7QdiJDMXW7m","Pray You Catch Me","Beyoncé",62,"r&b",25,7.46,"7dK54iZuOxXFarGhXwEXfF","Lemonade","2016-04-23","urban CONTEMPORARY","1nFfDHtp8RY3obgen8KODl","urban contemporary",21.5,8,-13.676,0,3.7,63.2,7.17,40.1,174.824,195987,-40.7359428571429
"47","2bOWJIYSbhwg2NMQq1QMYH","Forward (feat. James Blake)","Beyoncé",56,"r&b",38.7,4.98,"7dK54iZuOxXFarGhXwEXfF","Lemonade","2016-04-23","urban CONTEMPORARY","1nFfDHtp8RY3obgen8KODl","urban contemporary",13.3,7,-15.633,0,4.74,94.7,5.91,10.7,124.397,79200,-43.2159428571429
"48","4JehYebiI9JE8sR8MisGVb","Halo","Beyoncé",77,"r&b",50.8,47.2,"39P7VD7qlg3Z0ltq60eHp7","I AM...SASHA FIERCE","2008-11-14","urban CONTEMPORARY","1nFfDHtp8RY3obgen8KODl","urban contemporary",72,11,-5.908,0,6.28,27.2,0,5.63,79.983,261640,-0.995942857142865
"49","6g0Orsxv6glTJCt4cHsRsQ","Formation","Beyoncé",77,"r&b",89.6,81.8,"7dK54iZuOxXFarGhXwEXfF","Lemonade","2016-04-23","Feeling Accomplished","37i9dQZF1DWTDafB3skWPN","hip pop",62.1,5,-6.857,0,23.7,0.532,0,19.6,121.966,206080,33.6040571428571
"50","0rzNMzZsubFcXSEh7dnem7","Hold Up","Beyoncé",75,"r&b",52.4,55.2,"7dK54iZuOxXFarGhXwEXfF","Lemonade","2016-04-23","Feeling Accomplished","37i9dQZF1DWTDafB3skWPN","hip pop",39.7,0,-11.936,1,40.5,74.5,0,52.1,80.744,221093,7.00405714285714
"51","5hgnY0mVcVetszbb85qeDg","Partition","Beyoncé",71,"r&b",41.2,17.4,"2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","2014-11-24","Feeling Accomplished","37i9dQZF1DWTDafB3skWPN","hip pop",44.1,11,-11.523,0,29.1,2.96,7.26,30.6,185.571,319467,-30.7959428571429
"52","02M6vucOvmRfMxTXDUwRXu","7/11","Beyoncé",71,"r&b",74.7,56,"2UJwKSBUz6rtW4QLK74kQu","BEYONCÉ [Platinum Edition]","2014-11-24","Feeling Accomplished","37i9dQZF1DWTDafB3skWPN","hip pop",70.5,9,-5.137,0,12.6,1.28,0,12.6,136.024,213507,7.80405714285715
"53","6XsT5UGfpaFeHQf5LRIy4W","Me, Myself and I","Beyoncé",66,"r&b",75,53.6,"6oxVabMIqCMJRYN1GqR3Vf","Dangerously In Love","2003-06-24","Neo Soul Music","78RRvktrPMSqAoCI21mNOe","neo soul",45.8,1,-9.092,1,8.03,22.6,0.00325,13.7,83.61,301133,5.40405714285714
"54","58VTMFtsoe0E0vSX1pV03h","Blame It on the Boom Boom","Black Stone Cherry",57,"rap",57.4,78.4,"5VppVyy751PTQWrfJbrJ4H","Between The Devil & The Deep Blue Sea (Special Edition)","2011-01-01","Badass Rock","44bkJI1QGkT2O0GYJSsbkp","southern hip hop",88.9,10,-3.44,1,5.24,0.207,0.00112,3.33,116.007,189133,30.2040571428571
"55","3UWYmWg9j8KVV08ANBqcLB","White Trash Millionaire","Black Stone Cherry",56,"rap",48.5,49.4,"5VppVyy751PTQWrfJbrJ4H","Between The Devil & The Deep Blue Sea (Special Edition)","2011-01-01","Badass Rock","44bkJI1QGkT2O0GYJSsbkp","southern hip hop",89.8,4,-3.75,1,5.68,0.0776,0.244,64.2,99.983,198680,1.20405714285714
"56","2lmg77G2ypL40xfIqwFbI9","Me And Mary Jane","Black Stone Cherry",49,"rap",45.8,69.5,"7dbQ5p2bGqE14WzDNMvi9N","Magic Mountain","2014-05-02","Badass Rock","44bkJI1QGkT2O0GYJSsbkp","southern hip hop",93.1,6,-3.806,0,11.1,0.14,0.0105,13.5,84.954,248147,21.3040571428571
"57","5bHC9aYva39pR1mmFMFVxu","Rain Wizard","Black Stone Cherry",38,"rap",24.5,64.8,"5XzjYognRznsIgYqmrHkGV","Black Stone Cherry","2006-07-17","Badass Rock","44bkJI1QGkT2O0GYJSsbkp","southern hip hop",80.5,6,-3.778,0,4.5,0.0287,0.0225,27.5,171.272,204760,16.6040571428571
"58","0aIXTE8LOTPZZtx6woNmAn","Be Cowboy (PBR Anthem)","Black Stone Cherry",41,"rock",42.2,77,"11tH8eXeuuNZU68i0Ax1Py","Be Cowboy (PBR Anthem)","2019-10-25","Hard Rock","37i9dQZF1DX1X7WV84927n","hard rock",91.3,11,-4.658,1,8.58,0.112,0.00475,25.6,164.892,159759,28.8040571428571
"59","7avvBGQq0tH4nY95guF7fP","Can't You See","Black Stone Cherry",54,"rock",39.8,41.1,"5VppVyy751PTQWrfJbrJ4H","Between The Devil & The Deep Blue Sea (Special Edition)","2011-01-01","HARD ROCK CAFE","55ybnG2z8rpTIerRfnCsw6","hard rock",84.6,11,-4.217,1,4.41,0.0469,0.00246,17.2,149.893,211160,-7.09594285714287
"60","6YuFrGKapNrKSDVnBmcBj3","Journey Feat. Emma Carn - Radio Mix","BUNT.",30,"pop",50.3,40.9,"0n72hAyauVXorzS1fqAabl","Journey","2014-10-17","Chillout & Remixes 💜","4NlAd9NpIa92IjErMyAriM","indie poptimism",43.8,0,-17.995,1,4.85,31.8,11.1,9.13,123.824,236129,-7.29594285714286
"61","66MrwENuBlVccH7t848vjD","Journey - Radio Mix","BUNT.",48,"latin",50.2,40.7,"00UHyngepmD0QYZ0rK3anF","Journey","2014-09-26","Tropical House","37i9dQZF1DX0AMssoUKCz7","tropical",43.7,0,-17.997,1,4.82,31.8,10.6,9.16,123.913,236129,-7.49594285714286
"62","38tGRxFP5NkWbtOWsXbQ0L","Old Guitar","BUNT.",49,"latin",48.6,46.9,"5OMuOXDJwxGMLXvPj9kvqz","Old Guitar","2016-01-27","Tropical Morning","0vbtbmyihyvl2MVYrdKdGw","tropical",85.4,0,-4.859,1,5.69,7.39,0.00107,35.8,123.942,208548,-1.29594285714286
"63","2GZ3lgmg8Dga8XDxDm52rs","La Vida Me Hizo Cabron","C-Kan",49,"rap",78.8,79.7,"5d4dGixofnNvvLfUzxvpkb","La Vida Me Hizo Cabron","2019-12-27","Arena Hip-Hop","37i9dQZF1DWVFZbCNivv6B","hip hop",88.9,11,-2.845,1,5.47,6.69,0.000176,24.4,142.959,203811,31.5040571428571
"64","2NL5Cwq6lZZkXGTWhKhhvC","Santa Maria","C-Kan",48,"rap",65.6,40.8,"72g5Dfn8G8L03RVVrKQfms","Santa Maria","2019-10-25","Arena Hip-Hop","37i9dQZF1DWVFZbCNivv6B","hip hop",49.9,10,-11.958,0,10.3,32.3,0,37.4,91.924,180003,-7.39594285714286
"65","1VRtV2JlMRo4ZrAyCKTb2v","M-E-X-I-C-O","C-Kan",48,"rap",65.4,86,"3i3hD84ypGIseYsZw8m05P","Voy Por El Sueño de Muchos","2012-12-11","Mexican Gangsta Rap","28Ke4pXWqF2A5b2GfQ1pQt","gangster rap",81.7,10,-4.832,0,31.3,2.28,0,21.6,174.055,272342,37.8040571428571
"66","3f04ysVYLQoaKFHLHjezws","Un Par De Balas","C-Kan",57,"rap",81.6,79,"6vPMTvNEFkY9V7nxFgxjHZ","Clasificación C Vol.1","2014-07-22","Mexican Gangsta Rap","28Ke4pXWqF2A5b2GfQ1pQt","gangster rap",81.3,8,-3.124,1,36.1,44.8,0,15.3,171.816,228092,30.8040571428571
"67","0ofbQMrRDsUaVKq2mGLEAb","Havana","Camila Cabello",26,"pop",76.8,41.8,"5chBPOVY2I0bG5V3igb5QL","Havana","2017-08-03","Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s","4QAzO1Z92yqqD6Mf3mOANu","dance pop",51.7,7,-4.323,0,3.12,18.6,0.0038,10.4,104.992,216897,-6.39594285714286
"68","40nPimvmG05WYS7983bawZ","Cry for Me","Camila Cabello",73,"pop",72.1,65.3,"2dq4ae5hiyxlFPG1s8rlq5","Cry for Me","2019-10-04","Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s","4QAzO1Z92yqqD6Mf3mOANu","dance pop",80.5,9,-4.134,0,9.27,5,0,15.3,118.058,189133,17.1040571428571
"69","7LzouaWGFCy4tkXDOOnEyM","Liar","Camila Cabello",87,"pop",74,65.2,"3xgS4rfthlsvhW7J2WLiiR","Liar","2019-09-04","Pop Inglés (2020 - 2010s)💙 Música En Inglés 2010s","4QAzO1Z92yqqD6Mf3mOANu","dance pop",49.8,11,-6.684,0,4.56,1.69,0.282,31.9,98.016,207039,17.0040571428571
"70","7LzouaWGFCy4tkXDOOnEyM","Liar","Camila Cabello",87,"pop",74,65.2,"3xgS4rfthlsvhW7J2WLiiR","Liar","2019-09-04","Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop","46Cl6dmeiylK6TRGXr7hHe","post-teen pop",49.8,11,-6.684,0,4.56,1.69,0.282,31.9,98.016,207039,17.0040571428571
"71","46D0hYb1B7qiU33VtXt21W","Easy","Camila Cabello",78,"pop",57.4,35.5,"514p9UpvibpBhShFgpZaxS","Easy","2019-10-11","Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop","46Cl6dmeiylK6TRGXr7hHe","post-teen pop",59.3,4,-5.731,0,4.63,41.1,0.000155,9.66,128.073,194686,-12.6959428571429
"72","40nPimvmG05WYS7983bawZ","Cry for Me","Camila Cabello",73,"pop",72.1,65.3,"2dq4ae5hiyxlFPG1s8rlq5","Cry for Me","2019-10-04","Pop - Pop UK - 2019 - Canadian Pop - 2019 - Pop","46Cl6dmeiylK6TRGXr7hHe","post-teen pop",80.5,9,-4.134,0,9.27,5,0,15.3,118.058,189133,17.1040571428571
"73","3yOlyBJuViE2YSGn3nVE1K","My Oh My (feat. DaBaby)","Camila Cabello",94,"pop",72.4,38.3,"3Vsbl0diFGw8HNSjG8ue9m","Romance","2019-12-06","The Sound of Post-Teen Pop","10FCW9lj0NdeoYI5VVvVtY","post-teen pop",49.1,8,-6.024,1,2.96,1.8,0.00129,8.87,105.046,170746,-9.89594285714286
"74","7DoNtK2gVFRwJh0hkHe5wQ","Easy","Camila Cabello",73,"pop",57.4,35.5,"3Vsbl0diFGw8HNSjG8ue9m","Romance","2019-12-06","post-teen alternative, indie, pop (large variety)","1y42gwI5cuwjBslPyQNfqb","post-teen pop",59.3,4,-5.731,0,4.63,41.1,0.000155,9.66,128.073,194686,-12.6959428571429
"75","073ILU1C3APNRGF66VhtyA","Liar","Camila Cabello",77,"pop",74,65.2,"3Vsbl0diFGw8HNSjG8ue9m","Romance","2019-12-06","post-teen alternative, indie, pop (large variety)","1y42gwI5cuwjBslPyQNfqb","post-teen pop",49.8,11,-6.684,0,4.56,1.69,0.282,31.9,98.016,207039,17.0040571428571
"76","2ogKhhoMClkFXek7ZgxAhN","Shameless","Camila Cabello",73,"pop",37.7,8.51,"3Vsbl0diFGw8HNSjG8ue9m","Romance","2019-12-06","post-teen alternative, indie, pop (large variety)","1y42gwI5cuwjBslPyQNfqb","post-teen pop",65.1,4,-5.437,0,5.88,1.97,0.00531,17.4,129.698,219742,-39.6859428571429
"77","1Ff71LUQO0KBk5Slu3K6Vu","Cry for Me","Camila Cabello",70,"pop",72.1,65.3,"3Vsbl0diFGw8HNSjG8ue9m","Romance","2019-12-06","post-teen alternative, indie, pop (large variety)","1y42gwI5cuwjBslPyQNfqb","post-teen pop",80.5,9,-4.134,0,9.27,5,0,15.3,118.058,189133,17.1040571428571
